Species,Ancestor,Start date,End date
Acarinina africana,Acarinina sibaiyaensis,55.4,55.3
Acarinina alticonica,Acarinina soldadoensis,53.2,47
Acarinina angulosa,Acarinina soldadoensis,55.7,46.4
Acarinina aspensis,Acarinina pentacamerata,50.4,48.7
Acarinina boudreauxi,Acarinina pseudotopilensis,49.8,43.7
Acarinina bullbrooki,Acarinina boudreauxi,49,40.5
Acarinina coalingensis,Acarinina nitida,56.5,50.1
Acarinina collactea,Acarinina pentacamerata,50.45,30.3
Acarinina cuneicamerata,Acarinina angulosa,50.8,44
Acarinina echinata,Acarinina pseudosubsphaerica,43.2,31.8
Acarinina esnaensis,Acarinina nitida,56.3,51.2
Acarinina esnehensis,Acarinina soldadoensis,55.8,50.4
Acarinina interposita,Acarinina soldadoensis,54,50.4
Acarinina mcgowrani,Acarinina pseudotopilensis,49.25,38
Acarinina mckannai,Acarinina subsphaerica,59.25,56.3
Acarinina medizzai,Acarinina collactea,42.5,35.8
Acarinina nitida,Acarinina strabocella,59.5,56.2
Acarinina pentacamerata,Acarinina interposita,52.3,47
Acarinina praetopilensis,Acarinina mcgowrani,48.7,40
Acarinina primitiva,Acarinina coalingensis,50.8,38.8
Acarinina pseudosubsphaerica,Acarinina alticonica,50.4,42.3
Acarinina pseudotopilensis,Acarinina wilcoxensis,55.5,47.25
Acarinina punctocarinata,Acarinina boudreauxi,47,40.5
Acarinina quetra,Acarinina pseudotopilensis,54,50.4
Acarinina rohri,Acarinina topilensis,42.8,38.2
Acarinina sibaiyaensis,Acarinina esnehensis,55.45,55.3
Acarinina soldadoensis,Acarinina mckannai,56.4,46.4
Acarinina strabocella,Morozovella praeangulata,60.8,59.3
Acarinina subsphaerica,Acarinina nitida,59.4,54.2
Acarinina topilensis,Acarinina praetopilensis,43.2,40.3
Acarinina wilcoxensis,Acarinina esnaensis,55.7,50.9
Astrorotalia palmerae,Planorotalites pseudoscitula,49.55,47.55
Beella digitata,Beella praedigitata,5,0
Beella megastoma,Beella digitata,0.3,0
Beella praedigitata,Globigerinella siphonifera,12.4,0.8
Catapsydrax africanus,Catapsydrax howei,39,34.3
