Species,Ancestor,Start date,End date
Catapsydrax dissimilis,Catapsydrax unicavus,37.6,17.3
Catapsydrax globiformis,Catapsydrax unicavus,40.4,34.3
Catapsydrax howei,Catapsydrax unicavus,44.35,33.7
Catapsydrax parvulus,Catapsydrax stainforthi,17.1,10.9
Catapsydrax stainforthi,Catapsydrax unicavus,27.5,16.9
Catapsydrax unicavus,Globorotaloides quadrocameratus,55,17.3
Clavatorella bermudezi,Globorotaloides hexagonus,16.4,12.1
Clavigerinella akersi,Clavigerinella eocanica,47.22,42.7
Clavigerinella caucasica,Clavigerinella eocanica,44.6,44.45
Clavigerinella colombiana,Clavigerinella eocanica,47.4,43.3
Clavigerinella eocanica,Parasubbotina eoclava,48.1,34
Clavigerinella jarvisi,Clavigerinella eocanica,47.25,43.3
Cribrohantkenina inflata,Hantkenina nanggulanensis,36.4,33.7
Dentoglobigerina altispira,Dentoglobigerina globosa,23.7,3
Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,32,3.3
Dentoglobigerina binaiensis,Dentoglobigerina sellii,26,18.8
Dentoglobigerina galavisi,Acarinina primitiva,39,27.2
Dentoglobigerina globosa,Dentoglobigerina globularis,27.1,3
Dentoglobigerina globularis,Dentoglobigerina galavisi,34,18.8
Dentoglobigerina larmeui,Dentoglobigerina galavisi,27.3,11.2
Dentoglobigerina prasaepis,Dentoglobigerina sp,33.3,23.8
Dentoglobigerina pseudovenezuelana,Dentoglobigerina galavisi,35.4,27.4
Dentoglobigerina rohri,Dentoglobigerina venezuelana,30,24.3
Dentoglobigerina sellii,Dentoglobigerina tapuriensis,33.4,24.1
Dentoglobigerina sp,Dentoglobigerina galavisi,33.9,32.9
Dentoglobigerina tapuriensis,Dentoglobigerina sp,33.7,25.5
Dentoglobigerina venezuelana,Dentoglobigerina prasaepis,33.2,3.3
Eoglobigerina edita,Eoglobigerina eobulloides,64.9,61.15
Eoglobigerina eobulloides,Hedbergella monmouthensis,64.97,63.6
Eoglobigerina spiralis,Eoglobigerina edita,61.2,60.9
Fohsella birnageae,Fohsella peripheroronda,17,16.4
Fohsella fohsi,Fohsella praefohsi,13.4,11.9
Fohsella lenguaensis,Fohsella peripheroacuta,13.7,6.7
Fohsella lobata,Fohsella fohsi,13.3,11.9
Fohsella paralenguaensis,Fohsella lenguaensis,13.6,9.3
Fohsella peripheroacuta,Fohsella peripheroronda,14.3,13.4
Fohsella peripheroronda,Paragloborotalia kugleri,22,13.8
Fohsella praefohsi,Fohsella peripheroacuta,13.8,13.1
Fohsella robusta,Fohsella lobata,13.1,11.9
Globanomalina archeocompressa,Hedbergella holmdelensis,64.95,62.8
Globanomalina australiformis,Globanomalina imitata,55.88,43.8
Globanomalina chapmani,Globanomalina ehrenbergi,59.45,53.7
Globanomalina compressa,Globanomalina archeocompressa,62.9,60.7
Globanomalina ehrenbergi,Globanomalina compressa,61.1,59.38
Globanomalina imitata,Globanomalina planocompressa,62.05,55.8
Globanomalina luxorensis,Globanomalina ovalis,55.7,54.45
Globanomalina ovalis,Globanomalina imitata,56.5,55.3
Globanomalina planocompressa,Globanomalina archeocompressa,64.9,62
Globanomalina planoconica,Globanomalina chapmani,56.3,50.6
Globanomalina pseudomenardii,Globanomalina ehrenbergi,59.4,55.9
Globigerina angulisuturalis,Globigerina ciperoensis,29.4,22.5
Globigerina bulloides,Globigerina praebulloides,14.8,0
Globigerina ciperoensis,Globigerina officinalis,31.2,19.3
Globigerina druryi,Globigerina eamesi,21.5,0.6
Globigerina eamesi,Globigerina praebulloides,26.3,2
Globigerina falconensis,Globigerina praebulloides,18.4,0
Globigerina officinalis,Subbotina roesnaesensis,43.5,23.8
Globigerina praebulloides,Globigerina officinalis,33.8,4.8
Globigerina umbilicata,Globigerina bulloides,2.5,0.6
Globigerinatheka barri,Globigerinatheka subconglobata,44,36.3
Globigerinatheka curryi,Globigerinatheka kugleri,43.95,41.6
Globigerinatheka euganea,Globigerinatheka curryi,42.8,40.2
Globigerinatheka index,Globigerinatheka subconglobata,43.8,34.3
Globigerinatheka korotkovi,Globigerinatheka subconglobata,44.3,35.5
Globigerinatheka kugleri,Globigerinatheka subconglobata,44.41,39.8
Globigerinatheka luterbacheri,Globigerinatheka euganea,40.3,34.3
Globigerinatheka mexicana,Globigerinatheka subconglobata,44.4,36
Globigerinatheka semiinvoluta,Globigerinatheka mexicana,38.5,35.8
Globigerinatheka subconglobata,Guembelitrioides nuttalli,45.95,39.6
Globigerinatheka tropicalis,Globigerinatheka index,39.1,33.8
Globigerinella adamsi,Globigerinella calida,0.7,0
Globigerinella calida,Globigerinella siphonifera,4.4,0
Globigerinella obesa,Globigerina praebulloides,31.2,15.6
Globigerinella praesiphonifera,Globigerinella obesa,23.2,11.7
Globigerinella siphonifera,Globigerinella praesiphonifera,12.5,0
Globigerinoides altiapertura,Globigerinoides subquadratus,22,16.4
Globigerinoides bisphericus,Globigerinoides trilobus,18.2,15.6
Globigerinoides conglobatus,Globigerinoides obliquus,7.5,0
Globigerinoides diminutus,Globigerinoides subquadratus,17.3,14.8
Globigerinoides extremus,Globigerinoides obliquus,8.3,1.6
Globigerinoides fistulosus,Globigerinoides sacculifer,3.6,2
Globigerinoides mitra,Globigerinoides subquadratus,18,12.1
Globigerinoides obliquus,Globigerinoides altiapertura,21.95,1.3
Globigerinoides parawoodi,Globoturborotalita woodi,21.5,16.4
Globigerinoides primordius,Globigerina praebulloides,27,18.8
Globigerinoides ruber,Globigerinoides subquadratus,15.1,0
Globigerinoides sacculifer,Globigerinoides trilobus,10.9,0
Globigerinoides seigliei,Globigerinoides ruber,9.6,5.3
Globigerinoides subquadratus,Globoturborotalita brazieri,23,10.8
Globigerinoides trilobus,Globoturborotalita connecta,22.6,0
Globoconella conoidea,Globoconella miozea,16.4,5.7
Globoconella conomiozea,Globoconella conoidea,6,5.5
Globoconella inflata,Globoconella puncticulata,2.6,0
Globoconella miozea,Hirsutella praescitula,18.3,11.2
Globoconella pliozea,Globoconella terminalis,5.05,3.9
Globoconella puncticulata,Globoconella sphericomiozea,4.6,2.3
Globoconella sphericomiozea,Globoconella terminalis,5.4,4.5
Globoconella terminalis,Globoconella conomiozea,5.6,5
Globoquadrina conglomerata,Dentoglobigerina venezuelana,4.2,0
Globoquadrina dehiscens,Dentoglobigerina larmeui,25.1,4.8
Globorotalia flexuosa,Globorotalia tumida,5.7,0.2
Globorotalia merotumida,Menardella menardii,11,5.8
Globorotalia plesiotumida,Globorotalia merotumida,6.4,4.5
Globorotalia tumida,Globorotalia plesiotumida,5.8,0
Globorotalia ungulata,Globorotalia tumida,4.9,0
Globorotalia zealandica,Hirsutella praescitula,18.6,16.4
Globorotaloides eovariabilis,Globorotaloides quadrocameratus,47,16
Globorotaloides hexagonus,Globorotaloides eovariabilis,17.3,0
Globorotaloides quadrocameratus,Parasubbotina varianta,55.2,33.7
Globorotaloides testarugosa,Globorotaloides eovariabilis,32.5,22.5
Globorotaloides variabilis,Globorotaloides eovariabilis,17.1,4.8
Globoturborotalita anguliofficinalis,Globoturborotalita gnaucki,34.5,23.8
Globoturborotalita apertura,Globoturborotalita woodi,10.9,1.3
Globoturborotalita bassriverensis,Subbotina hornibrooki,55.4,42.4
Globoturborotalita bollii,Globoturborotalita woodi,12.5,2.3
Globoturborotalita brazieri,Globoturborotalita woodi,23.8,15.1
Globoturborotalita connecta,Globoturborotalita woodi,23,16.8
Globoturborotalita decoraperta,Globoturborotalita woodi,15,2
Globoturborotalita gnaucki,Globoturborotalita ouachitaensis,35.3,30.3
Globoturborotalita kennetti,Globoturborotalita bollii,9,5.3
Globoturborotalita labiacrassata,Globoturborotalita martini,30.4,16.3
Globoturborotalita martini,Globoturborotalita bassriverensis,44,30.3
Globoturborotalita nepenthes,Globoturborotalita woodi,12.1,4.3
Globoturborotalita ouachitaensis,Globoturborotalita bassriverensis,43.1,23.8
Globoturborotalita rubescens,Globoturborotalita decoraperta,3.6,0
Globoturborotalita tenella,Globoturborotalita rubescens,2.4,0
Globoturborotalita woodi,Globoturborotalita martini,30.6,2.4
Guembelitrioides nuttalli,Parasubbotina inaequispira,46.4,42.3
Hantkenina alabamensis,Hantkenina compressa,39.8,33.7
Hantkenina australis,Hantkenina dumblei,42.3,38.1
Hantkenina compressa,Hantkenina dumblei,41.2,33.7
Hantkenina dumblei,Hantkenina liebusi,43.9,39
Hantkenina lehneri,Hantkenina liebusi,43.91,41.4
Hantkenina liebusi,Hantkenina mexicana,44.2,39.7
Hantkenina mexicana,Hantkenina singanoae,44.41,43.8
Hantkenina nanggulanensis,Hantkenina alabamensis,38.1,33.7
Hantkenina primitiva,Hantkenina compressa,40,33.7
Hantkenina singanoae,Clavigerinella caucasica,44.5,44.4
Hedbergella holmdelensis,NA,70.6,64.9
Hedbergella monmouthensis,Hedbergella holmdelensis,69.2,64.85
Hirsutella bermudezi,Hirsutella scitula,2,0
Hirsutella challengeri,Hirsutella praescitula,15.15,10
Hirsutella cibaoensis,Hirsutella scitula,7.2,4.4
Hirsutella evoluta,Hirsutella margaritae,4.8,3.9
Hirsutella gigantea,Hirsutella scitula,14.99,8.8
Hirsutella hirsuta,Hirsutella margaritae,3,0
Hirsutella juanai,Hirsutella challengeri,10.9,4.8
Hirsutella margaritae,Hirsutella primitiva,5.89,2.95
Hirsutella praemargaritae,Hirsutella scitula,8.2,5.7
Hirsutella praescitula,Neogloboquadrina continuosa,18.8,14.8
Hirsutella primitiva,Hirsutella praemargaritae,5.9,4.8
Hirsutella scitula,Hirsutella praescitula,15,0
Hirsutella theyeri,Hirsutella margaritae,3.5,0
Igorina albeari,Igorina pusilla,60.05,55.9
Igorina anapetes,Igorina broedermanni,45.4,43.6
Igorina broedermanni,Igorina lodoensis,55.6,43.7
Igorina lodoensis,Igorina tadjikistanensis,55.8,50.5
Igorina pusilla,Praemurica uncinata,60.95,59.5
Igorina tadjikistanensis,Igorina pusilla,60,55.4
Menardella archeomenardii,Hirsutella praescitula,15.6,14.2
Menardella exilis,Menardella limbata,5.7,1.9
Menardella fimbriata,Menardella menardii,0.2,0
Menardella limbata,Menardella menardii,11.4,2.3
Menardella menardii,Menardella praemenardii,12.31,0
Menardella miocenica,Menardella pseudomiocenica,3.3,2.4
Menardella multicamerata,Menardella limbata,6.5,2.2
Menardella pertenius,Menardella exilis,3.2,1.7
Menardella praemenardii,Menardella archeomenardii,14.6,12.3
Menardella pseudomiocenica,Menardella limbata,7.5,2.4
Morozovella acuta,Morozovella velascoensis,59.15,54.45
Morozovella acutispira,Morozovella pasionensis,59.4,56.35
Morozovella aequa,Morozovella apanthesma,56.5,50.8
Morozovella allisonensis,Morozovella velascoensis,55.5,55.3
Morozovella angulata,Morozovella praeangulata,60.95,59.3
Morozovella apanthesma,Morozovella angulata,60,54.45
Morozovella aragonensis,Morozovella lensiformis,52.3,43.6
Morozovella caucasica,Morozovella crater,50.8,45.15
Morozovella conicotruncata,Morozovella angulata,60.8,59.3
Morozovella crater,Morozovella lensiformis,53.5,43.9
Morozovella edgari,Morozovella velascoensis,54.9,54
Morozovella formosa,Morozovella gracilis,54,50.4
Morozovella gracilis,Morozovella subbotinae,55.7,50.8
Morozovella lensiformis,Morozovella subbotinae,54,50.6
Morozovella marginodentata,Morozovella subbotinae,55.55,51.6
Morozovella occlusa,Morozovella pasionensis,59.35,54.45
Morozovella pasionensis,Morozovella velascoensis,59.5,54.45
Morozovella praeangulata,Praemurica uncinata,61.15,60
Morozovella subbotinae,Morozovella aequa,55.9,50.8
Morozovella velascoensis,Morozovella conicotruncata,59.9,54.45
Morozovelloides bandyi,Acarinina praetopilensis,48.1,42.3
Morozovelloides coronatus,Morozovelloides crassatus,45.4,40.1
Morozovelloides crassatus,Morozovelloides bandyi,45.9,38
Morozovelloides lehneri,Morozovelloides coronatus,44.65,40.1
Neogloboquadrina acostaensis,Neogloboquadrina continuosa,10.9,1.7
Neogloboquadrina continuosa,Paragloborotalia kugleri,23.2,7.8
Neogloboquadrina dutertrei,Neogloboquadrina humerosa,6.9,0
Neogloboquadrina humerosa,Neogloboquadrina acostaensis,9.7,1.6
Neogloboquadrina pachyderma,Neogloboquadrina continuosa,10.8,0
Orbulina suturalis,Praeorbulina circularis,15.1,0
Orbulina universa,Orbulina suturalis,15.05,0
Orbulinoides beckmanni,Globigerinatheka euganea,40.5,40
Paragloborotalia acrostoma,Paragloborotalia mayeri,23.2,12.6
Paragloborotalia bella,Paragloborotalia siakensis,18.6,13.9
Paragloborotalia griffinoides,Parasubbotina varianta,55.45,33.7
Paragloborotalia incognita,Paragloborotalia nana,20.9,16.4
Paragloborotalia kugleri,Paragloborotalia pseudokugleri,23.8,21.5
Paragloborotalia mayeri,Paragloborotalia siakensis,28,11.5
Paragloborotalia nana,Paragloborotalia griffinoides,47.5,15.1
Paragloborotalia opima,Paragloborotalia nana,30.3,27.1
Paragloborotalia pseudokugleri,Dentoglobigerina galavisi,37.2,23.5
Paragloborotalia semivera,Paragloborotalia nana,30.5,15.5
Paragloborotalia siakensis,Paragloborotalia semivera,30.3,11.4
Parasubbotina aff_pseudobulloides,Hedbergella monmouthensis,65,64.8
Parasubbotina eoclava,Parasubbotina inaequispira,49.25,44
Parasubbotina griffinae,Parasubbotina inaequispira,48.4,37.3
Parasubbotina inaequispira,Parasubbotina varianta,55.5,45.4
Parasubbotina prebetica,Parasubbotina inaequispira,51.7,50.9
Parasubbotina pseudobulloides,Parasubbotina aff_pseudobulloides,64.9,59.7
Parasubbotina pseudowilsoni,Parasubbotina varianta,47.6,40.5
Parasubbotina varianta,Parasubbotina pseudobulloides,62.8,43
Parasubbotina variospira,Parasubbotina varianta,61,59.3
Planoglobanomalina pseudoalgeriana,Globanomalina planoconica,50.8,45.2
Planorotalites capdevilensis,Planorotalites pseudoscitula,50.4,38
Planorotalites pseudoscitula,Morozovella apanthesma,55.9,46.4
Praemurica inconstans,Praemurica pseudoinconstans,62.8,60.9
Praemurica lozanoi,Praemurica uncinata,60.75,43
Praemurica pseudoinconstans,Praemurica taurica,64.8,61.15
Praemurica taurica,Hedbergella monmouthensis,64.9,63.8
Praemurica uncinata,Praemurica inconstans,61.2,60.7
Praeorbulina circularis,Praeorbulina glomerosa,15.7,14.9
Praeorbulina curva,Praeorbulina sicanus,15.9,15
Praeorbulina glomerosa,Praeorbulina curva,15.8,15
Praeorbulina sicanus,Globigerinoides bisphericus,16.4,14.8
Protentella nicobarensis,Protentella prolixa,29.39,4
Protentella prolixa,Globigerinella obesa,29.4,11.4
Protentelloides dalhousiei,Protentelloides primitiva,25.7,23.8
Protentelloides primitiva,Globorotaloides eovariabilis,26.3,23.8
Pseudoglobigerinella bolivariana,Parasubbotina griffinae,48.1,43.1
Pseudohastigerina micra,Pseudohastigerina wilcoxensis,48.1,32.2
Pseudohastigerina naguewichiensis,Pseudohastigerina micra,35.8,32
Pseudohastigerina sharkriverensis,Pseudohastigerina wilcoxensis,48,39.3
Pseudohastigerina wilcoxensis,Globanomalina luxorensis,55.3,43.3
Pulleniatina finalis,Pulleniatina spectabilis,4.25,0
Pulleniatina obliquiloculata,Pulleniatina praecursor,5.7,0
Pulleniatina praecursor,Pulleniatina primalis,6.1,1.75
Pulleniatina praespectabilis,Pulleniatina obliquiloculata,5.2,4.4
Pulleniatina primalis,Neogloboquadrina acostaensis,6.8,1.3
Pulleniatina spectabilis,Pulleniatina praespectabilis,4.6,4.2
Sphaeroidinella dehiscens,Sphaeroidinellopsis paenedehiscens,5.6,0
Sphaeroidinellopsis disjuncta,Globoturborotalita woodi,18.1,12.1
Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,14.4,3.6
Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,7.1,2.3
Sphaeroidinellopsis seminulina,Sphaeroidinellopsis disjuncta,16.4,2.3
Subbotina angiporoides,Subbotina linaperta,42.3,28.5
Subbotina cancellata,Subbotina trivialis,61.2,56.8
Subbotina corpulenta,Subbotina hagni,47.25,32.1
Subbotina crociapertura,Subbotina yeguaensis,46.4,40
Subbotina eocaena,Subbotina roesnaesensis,50.7,32.2
Subbotina gortanii,Subbotina yeguaensis,39.1,27.2
Subbotina hagni,Subbotina eocaena,48.1,34.3
Subbotina hornibrooki,Subbotina velascoensis,55.6,52.5
Subbotina jacksonensis,Subbotina eocaena,43.8,33.7
Subbotina linaperta,Subbotina patagonica,52,33.7
Subbotina patagonica,Subbotina cancellata,57,45.15
Subbotina roesnaesensis,Subbotina triangularis,55.6,43.2
Subbotina senni,Subbotina roesnaesensis,50.6,38
Subbotina sp1,Subbotina eocaena,34.1,32.6
Subbotina sp2,Subbotina sp1,33.8,27.2
Subbotina triangularis,Subbotina trivialis,61.1,55.55
Subbotina triloculinoides,Subbotina trivialis,64.3,59.3
Subbotina trivialis,Eoglobigerina eobulloides,64.92,61
Subbotina utilisindex,Subbotina linaperta,35.4,30.3
Subbotina velascoensis,Subbotina cancellata,59.2,54.45
Subbotina yeguaensis,Subbotina roesnaesensis,50.4,33.7
Truncorotalia cavernula,Truncorotalia truncatulinoides,0.9,0
Truncorotalia crassaconica,Truncorotalia crassaformis,4.3,3.5
Truncorotalia crassaformis,Hirsutella cibaoensis,5.7,0
Truncorotalia crassula,Hirsutella cibaoensis,5.55,0.9
Truncorotalia excelsa,Truncorotalia truncatulinoides,1.85,0
Truncorotalia hessi,Truncorotalia ronda,1.8,0.4
Truncorotalia oceanica,Truncorotalia crassaformis,5.5,0
Truncorotalia pachytheca,Truncorotalia excelsa,1.8,0
Truncorotalia ronda,Truncorotalia oceanica,4,1
Truncorotalia tenuitheca,Truncorotalia ronda,3.4,1.3
Truncorotalia tosaensis,Truncorotalia tenuitheca,3.2,1.2
Truncorotalia truncatulinoides,Truncorotalia tosaensis,1.9,0
Truncorotalia viola,Truncorotalia crassaformis,3.5,1.4
Turborotalia altispiroides,Turborotalia pomeroli,40.8,37.2
Turborotalia ampliapertura,Turborotalia increbescens,35,30.3
Turborotalia cerroazulensis,Turborotalia pomeroli,41.8,33.8
Turborotalia cocoaensis,Turborotalia cerroazulensis,38.6,33.8
Turborotalia cunialensis,Turborotalia cocoaensis,34.1,33.8
Turborotalia euapertura,Turborotalia ampliapertura,32.65,30.25
Turborotalia frontosa,Globanomalina australiformis,48.7,40.8
Turborotalia increbescens,Turborotalia pomeroli,39.2,30.3
Turborotalia pomeroli,Turborotalia frontosa,43.2,34.6
Turborotalia possagnoensis,Turborotalia frontosa,43.95,40.8
Turborotalita carcoselleensis,Globoturborotalita bassriverensis,44.4,35.9
Turborotalita clarkei,Turborotalita cristata,1.6,0
Turborotalita cristata,Turborotalita humilis,4.5,0
Turborotalita humilis,Turborotalita quinqueloba,6,0
Turborotalita praequinqueloba,Turborotalita carcoselleensis,36,22.4
Turborotalita quinqueloba,Turborotalita praequinqueloba,25.4,0
