Lineage code,Ancestor code,Start date,End date,Species in lineage
N1,NA,70.6,69.2,Hedbergella holmdelensis
N101,N76,60.8,60.2,Morozovella praeangulata-Morozovella angulata
N102,N99,59.4,56.2,Acarinina subsphaerica
N103,N102,56.2,55.7,Acarinina mckannai-Acarinina soldadoensis
N104,N103,55.7,55.45,Acarinina esnehensis
N106,N104,55.45,55.4,Acarinina sibaiyaensis
N109,N103,55.7,52.6,Acarinina soldadoensis
N110,N109,52.6,49.55,Acarinina interposita-Acarinina pentacamerata
N112,N110,49.55,41.6,Acarinina pentacamerata-Acarinina collactea
N115,N109,52.6,51.6,Acarinina soldadoensis
N117,N115,51.6,50.8,Acarinina soldadoensis
N119,N117,50.8,43.2,Acarinina alticonica-Acarinina pseudosubsphaerica
N122,N51,7.2,2,Hirsutella scitula
N125,N99,59.4,56.2,Acarinina nitida
N126,N125,56.2,39,Acarinina coalingensis-Acarinina primitiva
N128,N125,56.2,54.6,Acarinina esnaensis-Acarinina wilcoxensis
N13,N5,55.88,48.7,Globanomalina australiformis
N130,N128,54.6,53.2,Acarinina pseudotopilensis
N131,N130,53.2,47.25,Acarinina pseudotopilensis
N133,N131,47.25,44.65,Acarinina boudreauxi-Acarinina bullbrooki
N136,N131,47.25,45,Acarinina praetopilensis-Acarinina mcgowrani
N137,N136,45,44.5,Morozovelloides bandyi-Morozovelloides coronatus-Morozovelloides crassatus
N139,N137,44.5,44,Morozovelloides bandyi-Morozovelloides coronatus-Morozovelloides crassatus
N142,N136,45,44.35,Acarinina praetopilensis
N144,N142,44.35,41.7,Acarinina praetopilensis-Acarinina topilensis
N145,N144,41.7,41,Acarinina topilensis
N149,N126,39,37.2,Dentoglobigerina galavisi
N15,N13,48.7,40,Turborotalia frontosa-Turborotalia possagnoensis-Turborotalia pomeroli-Turborotalia cerroazulensis-Turborotalia altispiroides
N150,N149,37.2,23.2,Paragloborotalia pseudokugleri-Paragloborotalia kugleri
N151,N150,23.2,22,Paragloborotalia kugleri
N152,N151,22,13.1,Fohsella peripheroronda-Fohsella birnageae-Fohsella peripheroacuta-Fohsella praefohsi
N156,N23,18.8,10.8,Neogloboquadrina continuosa
N157,N156,10.8,8,Neogloboquadrina continuosa-Neogloboquadrina acostaensis
N160,N157,8,5.7,Neogloboquadrina continuosa-Neogloboquadrina acostaensis
N163,N149,37.2,34.4,Dentoglobigerina galavisi
N165,N163,34.4,32.7,Dentoglobigerina sp-Dentoglobigerina galavisi-Dentoglobigerina tapuriensis
N166,N165,32.7,32.1,Dentoglobigerina tapuriensis
N168,N166,32.1,25.5,Dentoglobigerina sellii
N17,N15,40,37.3,Turborotalia pomeroli-Turborotalia increbescens-Turborotalia cerroazulensis
N171,N165,32.7,32.5,Dentoglobigerina galavisi
N172,N171,32.5,29.5,Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata
N175,N171,32.5,27.3,Dentoglobigerina galavisi
N177,N175,27.3,27.2,Dentoglobigerina galavisi
N179,N175,27.3,24.1,Dentoglobigerina larmeui
N18,N17,37.3,34.5,Turborotalia pomeroli-Turborotalia cerroazulensis
N182,N2,64.9,62.3,Parasubbotina aff_pseudobulloides-Parasubbotina varianta
N184,N182,62.3,60.5,Parasubbotina varianta
N186,N184,60.5,55.5,Parasubbotina varianta
N187,N186,55.5,55.2,Parasubbotina varianta
N188,N187,55.2,54.5,Parasubbotina varianta
N190,N187,55.2,53.5,Globorotaloides quadrocameratus
N191,N188,54.5,46.15,Paragloborotalia griffinoides
N193,N191,46.15,30.5,Paragloborotalia nana
N195,N193,30.5,29.8,Paragloborotalia nana
N198,N2,64.9,64.87,Hedbergella monmouthensis
N199,N190,53.5,44.5,Globorotaloides quadrocameratus
N2,N256,64.95,64.9,Hedbergella monmouthensis
N201,N199,44.5,30.4,Globorotaloides eovariabilis
N203,N295,15.8,13.8,Globorotaloides hexagonus
N206,N190,53.5,43.4,Catapsydrax unicavus
N207,N206,43.4,37.9,Catapsydrax howei
N21,N17,37.3,32.9,Turborotalia increbescens-Turborotalia ampliapertura
N210,N206,43.4,39.4,Catapsydrax unicavus
N212,N210,39.4,27.5,Catapsydrax unicavus-Catapsydrax dissimilis
N215,N186,55.5,51.5,Parasubbotina inaequispira
N217,N215,51.5,49.25,Parasubbotina inaequispira
N218,N217,49.25,48.1,Parasubbotina eoclava
N220,N218,48.1,47.2,Clavigerinella eocanica
N221,N220,47.2,44.6,Clavigerinella eocanica
N223,N221,44.6,43.7,Clavigerinella caucasica-Hantkenina singanoae-Hantkenina mexicana-Hantkenina lehneri-Hantkenina liebusi
N225,N223,43.7,41.3,Hantkenina liebusi-Hantkenina dumblei
N227,N225,41.3,37.5,Hantkenina dumblei-Hantkenina compressa-Hantkenina primitiva
N23,N150,23.2,18.8,Neogloboquadrina continuosa
N231,N217,49.25,47.55,Parasubbotina inaequispira
N232,N231,47.55,45.25,Parasubbotina griffinae
N235,N231,47.55,46.4,Parasubbotina inaequispira
N237,N235,46.4,43.95,Guembelitrioides nuttalli
N239,N237,43.95,43.9,Globigerinatheka subconglobata
N240,N239,43.9,43.85,Globigerinatheka subconglobata
N241,N240,43.85,38,Globigerinatheka mexicana
N244,N240,43.85,43.75,Globigerinatheka subconglobata
N246,N244,43.75,43,Globigerinatheka subconglobata
N248,N246,43,38.4,Globigerinatheka index
N25,N23,18.8,18.3,Hirsutella praescitula-Globorotalia zealandica
N251,N239,43.9,43.75,Globigerinatheka kugleri
N253,N251,43.75,40.3,Globigerinatheka curryi-Globigerinatheka euganea
N256,N1,69.2,64.95,Hedbergella monmouthensis
N257,N256,64.95,64.8,Eoglobigerina eobulloides
N259,N257,64.8,63.7,Subbotina trivialis
N26,N25,18.3,15.15,Hirsutella praescitula-Globorotalia zealandica
N261,N259,63.7,61.2,Subbotina trivialis
N262,N261,61.2,55.6,Subbotina trivialis-Subbotina triangularis
N264,N262,55.6,49.55,Subbotina roesnaesensis
N265,N264,49.55,48.4,Subbotina roesnaesensis
N267,N264,49.55,45.7,Subbotina eocaena
N269,N267,45.7,42.8,Subbotina eocaena
N27,N25,18.3,5.3,Globoconella miozea-Globoconella conoidea-Globoconella conomiozea-Globoconella terminalis
N271,N269,42.8,33.4,Subbotina eocaena
N273,N271,33.4,32.9,Subbotina sp1
N276,N265,48.4,47.55,Subbotina roesnaesensis
N278,N276,47.55,30.5,Subbotina roesnaesensis-Globigerina officinalis
N279,N278,30.5,27.6,Globigerina ciperoensis
N281,N278,30.5,30.2,Globigerina officinalis-Globigerina praebulloides
N283,N281,30.2,28.9,Globigerina officinalis-Globigerina praebulloides
N285,N283,28.9,25,Globigerina praebulloides
N286,N285,25,23.2,Globigerina praebulloides
N291,N285,25,21.5,Globigerina eamesi
N292,N298,10.2,0.3,Beella praedigitata-Beella digitata-Beella megastoma
N295,N998,26.3,15.8,Globorotaloides eovariabilis
N298,N366,29.4,10.2,Globigerinella obesa-Globigerinella praesiphonifera-Globigerinella siphonifera
N3,N1,69.2,62,Hedbergella holmdelensis-Globanomalina archeocompressa-Globanomalina planocompressa
N30,N32,14.8,14.6,Menardella archeomenardii
N300,N298,10.2,3.8,Globigerinella siphonifera
N301,N300,3.8,0.3,Globigerinella calida
N305,N261,61.2,58.7,Subbotina cancellata
N306,N305,58.7,55.4,Subbotina velascoensis
N308,N306,55.4,54.5,Subbotina hornibrooki
N310,N305,58.7,38.5,Subbotina cancellata-Subbotina patagonica-Subbotina linaperta
N314,N308,54.5,44.15,Globoturborotalita bassriverensis
N315,N314,44.15,4.5,Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba
N318,N314,44.15,42.4,Globoturborotalita bassriverensis
N319,N318,42.4,34.5,Globoturborotalita ouachitaensis
N32,N26,15.15,14.8,Hirsutella praescitula
N322,N318,42.4,30.3,Globoturborotalita martini
N324,N322,30.3,23.8,Globoturborotalita woodi
N325,N324,23.8,22.7,Globoturborotalita brazieri
N326,N325,22.7,21,Globigerinoides subquadratus
N327,N326,21,7.5,Globigerinoides altiapertura-Globigerinoides obliquus
N329,N327,7.5,3.3,Globigerinoides obliquus
N332,N326,21,17.5,Globigerinoides subquadratus
N334,N332,17.5,15.1,Globigerinoides subquadratus-Globigerinoides diminutus
N336,N324,23.8,22.5,Globoturborotalita woodi
N337,N336,22.5,17,Globoturborotalita connecta-Globigerinoides trilobus
N339,N337,17,3.3,Globigerinoides trilobus-Globigerinoides sacculifer
N34,N30,14.6,10.3,Menardella praemenardii-Menardella menardii
N342,N336,22.5,21.1,Globoturborotalita woodi
N344,N342,21.1,17.3,Globoturborotalita woodi
N345,N344,17.3,11.5,Sphaeroidinellopsis disjuncta-Sphaeroidinellopsis seminulina
N348,N344,17.3,14.3,Globoturborotalita woodi
N349,N348,14.3,2,Globoturborotalita decoraperta-Globoturborotalita rubescens-Globoturborotalita tenella
N35,N34,10.3,6.5,Menardella limbata
N352,N348,14.3,12.1,Globoturborotalita woodi
N354,N352,12.1,11.5,Globoturborotalita woodi
N358,N227,37.5,36.4,Hantkenina alabamensis
N364,N160,5.7,5.2,Pulleniatina primalis-Pulleniatina praecursor-Pulleniatina obliquiloculata
N366,N281,30.2,29.4,Globigerinella obesa-Globigerinella praesiphonifera-Globigerinella siphonifera
N368,N80,58.8,55.5,Morozovella velascoensis
N37,N35,6.5,5.7,Menardella limbata
N370,N368,55.5,54.5,Morozovella velascoensis
N4,N3,62,59.38,Globanomalina compressa-Globanomalina ehrenbergi
N40,N34,10.3,10,Menardella menardii
N42,N40,10,5.8,Globorotalia merotumida-Globorotalia plesiotumida
N45,N42,5.8,3.2,Globorotalia tumida-Globorotalia flexuosa
N47,N32,14.8,8.2,Hirsutella scitula-Hirsutella gigantea
N48,N47,8.2,3.5,Hirsutella praemargaritae-Hirsutella primitiva-Hirsutella evoluta-Hirsutella margaritae
N5,N3,62,55.88,Globanomalina planocompressa-Globanomalina imitata-Globanomalina ovalis
N51,N47,8.2,7.2,Hirsutella scitula-Hirsutella gigantea
N52,N51,7.2,5.7,Hirsutella cibaoensis
N54,N52,5.7,5.5,Hirsutella cibaoensis
N56,N52,5.7,4.3,Truncorotalia crassaformis
N58,N56,4.3,3.4,Truncorotalia crassaformis-Truncorotalia oceanica-Truncorotalia ronda
N59,N58,3.4,1,Truncorotalia crassaformis-Truncorotalia viola-Truncorotalia oceanica-Truncorotalia ronda
N6,N5,55.88,45.25,Globanomalina ovalis-Globanomalina luxorensis-Pseudohastigerina wilcoxensis
N62,N58,3.4,1.4,Truncorotalia tenuitheca-Truncorotalia tosaensis
N64,N62,1.4,0.8,Truncorotalia truncatulinoides
N68,N198,64.87,61.15,Praemurica taurica-Praemurica pseudoinconstans-Praemurica inconstans-Praemurica uncinata
N69,N68,61.15,60.9,Praemurica uncinata
N70,N69,60.9,60.75,Praemurica uncinata
N72,N69,60.9,59.5,Igorina pusilla
N76,N68,61.15,60.8,Morozovella praeangulata-Morozovella angulata
N77,N265,48.4,45.35,Subbotina yeguaensis-Subbotina gortanii
N79,N80,58.8,58,Morozovella occlusa-Morozovella pasionensis-Morozovella acutispira
N8,N6,45.25,35.8,Pseudohastigerina wilcoxensis-Pseudohastigerina micra
N80,N101,60.2,58.8,Morozovella conicotruncata-Morozovella velascoensis
N83,N101,60.2,55.9,Morozovella angulata-Morozovella apanthesma-Morozovella aequa
N84,N83,55.9,55.85,Morozovella aequa
N86,N84,55.85,49.55,Planorotalites pseudoscitula-Planorotalites capdevilensis
N88,N83,55.9,54.5,Morozovella subbotinae
N89,N88,54.5,54.1,Morozovella subbotinae
N90,N89,54.1,54,Morozovella subbotinae
N94,N90,54,52.4,Morozovella lensiformis
N98,N94,52.4,47.19,Morozovella crater
N99,N76,60.8,59.4,Acarinina strabocella-Acarinina nitida
N998,N201,30.4,26.3,Globorotaloides eovariabilis
T10,N8,35.8,32,Pseudohastigerina naguewichiensis
T100,N102,56.2,54.2,Acarinina subsphaerica
T105,N104,55.45,50.4,Acarinina esnehensis
T107,N106,55.4,55.3,Acarinina sibaiyaensis
T108,N106,55.4,55.3,Acarinina africana
T11,N4,59.38,55.9,Globanomalina pseudomenardii
T111,N110,49.55,48.7,Acarinina aspensis
T113,N112,41.6,30.3,Acarinina collactea
T114,N112,41.6,35.8,Acarinina medizzai
T116,N115,51.6,44,Acarinina angulosa-Acarinina cuneicamerata
T118,N117,50.8,46.4,Acarinina soldadoensis
T12,N4,59.38,45.2,Globanomalina chapmani-Globanomalina planoconica-Planoglobanomalina pseudoalgeriana
T120,N119,43.2,42.3,Acarinina pseudosubsphaerica
T121,N119,43.2,31.8,Acarinina echinata
T123,N122,2,0,Hirsutella scitula
T124,N122,2,0,Hirsutella bermudezi
T127,N126,39,38.8,Acarinina primitiva
T129,N128,54.6,50.9,Acarinina esnaensis-Acarinina wilcoxensis
T132,N130,53.2,50.4,Acarinina quetra
T134,N133,44.65,40.5,Acarinina punctocarinata
T135,N133,44.65,40.5,Acarinina boudreauxi-Acarinina bullbrooki
T138,N137,44.5,40.1,Morozovelloides lehneri
T14,N13,48.7,43.8,Globanomalina australiformis
T140,N142,44.35,38,Acarinina mcgowrani
T141,N139,44,42.3,Morozovelloides bandyi
T143,N139,44,38,Morozovelloides coronatus-Morozovelloides crassatus
T146,N145,41,40.3,Acarinina topilensis
T147,N145,41,38.2,Acarinina rohri
T148,N144,41.7,40.3,Acarinina praetopilensis
T153,N151,22,21.5,Paragloborotalia kugleri
T154,N152,13.1,11.9,Fohsella fohsi-Fohsella lobata-Fohsella robusta
T155,N152,13.1,6.7,Fohsella paralenguaensis-Fohsella lenguaensis
T158,N157,8,0,Neogloboquadrina humerosa-Neogloboquadrina dutertrei
T159,N156,10.8,0,Neogloboquadrina pachyderma
T16,N15,40,37.2,Turborotalia altispiroides
T161,N160,5.7,1.7,Neogloboquadrina acostaensis
T162,N364,5.2,0,Pulleniatina primalis-Pulleniatina praecursor-Pulleniatina obliquiloculata
T164,N163,34.4,27.4,Dentoglobigerina pseudovenezuelana
T167,N166,32.1,25.5,Dentoglobigerina tapuriensis
T169,N168,25.5,24.1,Dentoglobigerina sellii
T170,N168,25.5,18.8,Dentoglobigerina binaiensis
T173,N172,29.5,24.3,Dentoglobigerina rohri
T174,N172,29.5,0,Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata
