Lineage code,Ancestor code,Start date,End date,Species in lineage
T176,N177,27.2,3,Dentoglobigerina globularis-Dentoglobigerina globosa-Dentoglobigerina altispira
T178,N177,27.2,3.3,Dentoglobigerina baroemoensis
T180,N179,24.1,11.2,Dentoglobigerina larmeui
T181,N179,24.1,4.8,Globoquadrina dehiscens
T183,N182,62.3,59.7,Parasubbotina pseudobulloides
T185,N184,60.5,59.3,Parasubbotina variospira
T189,N188,54.5,40.5,Parasubbotina varianta-Parasubbotina pseudowilsoni
T19,N18,34.5,33.8,Turborotalia cerroazulensis
T192,N191,46.15,33.7,Paragloborotalia griffinoides
T194,N193,30.5,11.4,Paragloborotalia semivera-Paragloborotalia siakensis-Paragloborotalia bella-Paragloborotalia mayeri-Paragloborotalia acrostoma
T196,N195,29.8,27.1,Paragloborotalia opima
T197,N195,29.8,15.1,Paragloborotalia nana-Paragloborotalia incognita
T20,N18,34.5,33.8,Turborotalia cocoaensis-Turborotalia cunialensis
T200,N199,44.5,33.7,Globorotaloides quadrocameratus
T202,N201,30.4,22.5,Globorotaloides testarugosa
T204,N203,13.8,4.8,Globorotaloides variabilis
T205,N203,13.8,0,Globorotaloides eovariabilis-Globorotaloides hexagonus
T208,N207,37.9,33.7,Catapsydrax howei
T209,N207,37.9,34.3,Catapsydrax africanus
T211,N210,39.4,34.3,Catapsydrax globiformis
T213,N212,27.5,17.3,Catapsydrax unicavus-Catapsydrax dissimilis
T214,N212,27.5,10.9,Catapsydrax stainforthi-Catapsydrax parvulus
T216,N215,51.5,50.9,Parasubbotina prebetica
T219,N218,48.1,44,Parasubbotina eoclava
T22,N21,32.9,30.25,Turborotalia ampliapertura-Turborotalia euapertura
T222,N220,47.2,42.7,Clavigerinella akersi-Clavigerinella jarvisi-Clavigerinella colombiana
T224,N223,43.7,41.4,Hantkenina lehneri
T226,N225,41.3,38.1,Hantkenina australis
T228,N227,37.5,33.7,Hantkenina compressa-Hantkenina primitiva
T229,N358,36.4,33.7,Hantkenina alabamensis
T230,N358,36.4,33.7,Hantkenina nanggulanensis-Cribrohantkenina inflata
T233,N232,45.25,37.3,Parasubbotina griffinae
T234,N232,45.25,43.1,Pseudoglobigerinella bolivariana
T236,N235,46.4,45.4,Parasubbotina inaequispira
T238,N237,43.95,42.3,Guembelitrioides nuttalli
T24,N21,32.9,30.3,Turborotalia increbescens
T242,N241,38,36,Globigerinatheka mexicana
T243,N241,38,35.8,Globigerinatheka semiinvoluta
T245,N244,43.75,36.3,Globigerinatheka barri
T247,N246,43,35.5,Globigerinatheka subconglobata-Globigerinatheka korotkovi
T249,N248,38.4,34.3,Globigerinatheka index
T250,N248,38.4,33.8,Globigerinatheka tropicalis
T252,N251,43.75,39.8,Globigerinatheka kugleri
T254,N253,40.3,40,Globigerinatheka euganea-Orbulinoides beckmanni
T255,N253,40.3,34.3,Globigerinatheka luterbacheri
T258,N257,64.8,60.9,Eoglobigerina eobulloides-Eoglobigerina edita-Eoglobigerina spiralis
T260,N259,63.7,59.3,Subbotina triloculinoides
T263,N262,55.6,55.55,Subbotina triangularis
T266,N77,45.35,27.2,Subbotina yeguaensis-Subbotina gortanii
T268,N267,45.7,32.1,Subbotina hagni-Subbotina corpulenta
T270,N269,42.8,33.7,Subbotina jacksonensis
T272,N271,33.4,32.2,Subbotina eocaena
T274,N273,32.9,32.6,Subbotina sp1
T275,N273,32.9,27.2,Subbotina sp2
T277,N276,47.55,38,Subbotina senni
T28,N27,5.3,3.9,Globoconella pliozea
T280,N279,27.6,19.3,Globigerina ciperoensis
T282,N279,27.6,22.5,Globigerina angulisuturalis
T284,N283,28.9,23.8,Globigerina officinalis
T287,N286,23.2,18.8,Globigerinoides primordius
T288,N286,23.2,0,Globigerina praebulloides-Globigerina bulloides-Globigerina umbilicata-Globigerina falconensis
T29,N27,5.3,0,Globoconella sphericomiozea-Globoconella puncticulata-Globoconella inflata
T294,N292,0.3,0,Beella megastoma
T297,N295,15.8,12.1,Clavatorella bermudezi
T299,N292,0.3,0,Beella praedigitata-Beella digitata
T302,N301,0.3,0,Globigerinella adamsi
T303,N301,0.3,0,Globigerinella calida
T304,N300,3.8,0,Globigerinella siphonifera
T307,N306,55.4,54.45,Subbotina velascoensis
T309,N308,54.5,52.5,Subbotina hornibrooki
T31,N30,14.6,14.2,Menardella archeomenardii
T313,N310,38.5,30.3,Subbotina linaperta-Subbotina utilisindex
T316,N315,4.5,0,Turborotalita quinqueloba
T317,N315,4.5,0,Turborotalita humilis-Turborotalita cristata-Turborotalita clarkei
T320,N319,34.5,23.8,Globoturborotalita ouachitaensis
T321,N319,34.5,23.8,Globoturborotalita gnaucki-Globoturborotalita anguliofficinalis
T323,N322,30.3,16.3,Globoturborotalita labiacrassata
T328,N327,7.5,0,Globigerinoides conglobatus
T33,N26,15.15,4.8,Hirsutella challengeri-Hirsutella juanai
T330,N329,3.3,1.3,Globigerinoides obliquus
T331,N329,3.3,1.6,Globigerinoides extremus
T333,N332,17.5,12.1,Globigerinoides mitra
T335,N334,15.1,0,Globigerinoides ruber-Globigerinoides seigliei
T338,N337,17,0,Globigerinoides bisphericus-Praeorbulina sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa
T340,N339,3.3,2,Globigerinoides fistulosus
T341,N339,3.3,0,Globigerinoides trilobus-Globigerinoides sacculifer
T343,N342,21.1,16.4,Globigerinoides parawoodi
T346,N345,11.5,3.6,Sphaeroidinellopsis kochi
T347,N345,11.5,0,Sphaeroidinellopsis seminulina-Sphaeroidinellopsis paenedehiscens-Sphaeroidinella dehiscens
T350,N349,2,0,Globoturborotalita rubescens
T351,N349,2,0,Globoturborotalita tenella
T353,N352,12.1,2.3,Globoturborotalita bollii-Globoturborotalita kennetti
T355,N354,11.5,4.3,Globoturborotalita nepenthes
T356,N354,11.5,1.3,Globoturborotalita woodi-Globoturborotalita apertura
T357,N86,49.55,47.55,Astrorotalia palmerae
T359,N310,38.5,28.5,Subbotina angiporoides
T36,N35,6.5,2.2,Menardella multicamerata
T360,N334,15.1,10.8,Globigerinoides subquadratus
T361,N325,22.7,15.1,Globoturborotalita brazieri
T362,N221,44.6,34,Clavigerinella eocanica
T363,N77,45.35,40,Subbotina crociapertura
T365,N364,5.2,0,Pulleniatina praespectabilis-Pulleniatina spectabilis-Pulleniatina finalis
T367,N366,29.4,4,Protentella prolixa-Protentella nicobarensis
T369,N368,55.5,55.3,Morozovella allisonensis
T371,N370,54.5,54,Morozovella edgari
T372,N291,21.5,2,Globigerina eamesi
T373,N291,21.5,0.6,Globigerina druryi
T38,N37,5.7,1.7,Menardella exilis-Menardella pertenius
T39,N37,5.7,2.4,Menardella limbata-Menardella pseudomiocenica-Menardella miocenica
T41,N42,5.8,4.5,Globorotalia plesiotumida
T43,N45,3.2,0,Globorotalia tumida-Globorotalia flexuosa
T44,N40,10,0,Menardella menardii-Menardella fimbriata
T46,N45,3.2,0,Globorotalia ungulata
T49,N48,3.5,0,Hirsutella theyeri
T50,N48,3.5,0,Hirsutella margaritae-Hirsutella hirsuta
T53,N54,5.5,4.4,Hirsutella cibaoensis
T55,N54,5.5,0.9,Truncorotalia crassula
T57,N56,4.3,3.5,Truncorotalia crassaconica
T60,N59,1,0.4,Truncorotalia hessi
T61,N59,1,0,Truncorotalia crassaformis-Truncorotalia oceanica
T63,N62,1.4,1.2,Truncorotalia tosaensis
T65,N64,0.8,0,Truncorotalia cavernula
T66,N64,0.8,0,Truncorotalia truncatulinoides-Truncorotalia excelsa-Truncorotalia pachytheca
T67,N198,64.87,64.85,Hedbergella monmouthensis
T7,N6,45.25,39.3,Pseudohastigerina sharkriverensis
T71,N70,60.75,60.7,Praemurica uncinata
T73,N72,59.5,55.9,Igorina albeari
T74,N72,59.5,43.6,Igorina tadjikistanensis-Igorina lodoensis-Igorina broedermanni-Igorina anapetes
T75,N70,60.75,43,Praemurica lozanoi
T78,N370,54.5,54.45,Morozovella velascoensis-Morozovella acuta
T81,N79,58,54.45,Morozovella occlusa
T82,N79,58,55.45,Morozovella pasionensis-Morozovella acutispira
T85,N84,55.85,50.8,Morozovella aequa
T87,N86,49.55,38,Planorotalites pseudoscitula-Planorotalites capdevilensis
T9,N8,35.8,32.2,Pseudohastigerina micra
T91,N89,54.1,51.6,Morozovella marginodentata
T92,N88,54.5,50.4,Morozovella gracilis-Morozovella formosa
T93,N90,54,50.8,Morozovella subbotinae
T95,N94,52.4,43.6,Morozovella lensiformis-Morozovella aragonensis
T96,N98,47.19,43.9,Morozovella crater
T97,N98,47.19,45.15,Morozovella caucasica
T999,N998,26.3,23.8,Protentelloides primitiva-Protentelloides dalhousiei
