Species code,Ancestor code,Start date,End date,Species name
t352,n351,27.3,27.2,Dentoglobigerina galavisi
n330,n328,27.1,23.7,Dentoglobigerina globosa
t331,n330,23.7,3,Dentoglobigerina globosa
n328,n327,34,27.1,Dentoglobigerina globularis
t329,n328,27.1,18.8,Dentoglobigerina globularis
n353,n351,27.3,25.1,Dentoglobigerina larmeui
t354,n353,25.1,11.2,Dentoglobigerina larmeui
n342,n340,33.3,33.2,Dentoglobigerina prasaepis
t343,n342,33.2,23.8,Dentoglobigerina prasaepis
t326,n325,35.4,27.4,Dentoglobigerina pseudovenezuelana
t345,n344,30,24.3,Dentoglobigerina rohri
n337,n335,33.4,26,Dentoglobigerina sellii
t338,n337,26,24.1,Dentoglobigerina sellii
n334,n333,33.9,33.7,Dentoglobigerina sp
n340,n334,33.7,33.3,Dentoglobigerina sp
t341,n340,33.3,32.9,Dentoglobigerina sp
n335,n334,33.7,33.4,Dentoglobigerina tapuriensis
t336,n335,33.4,25.5,Dentoglobigerina tapuriensis
n344,n342,33.2,30,Dentoglobigerina venezuelana
n346,n344,30,4.2,Dentoglobigerina venezuelana
t347,n346,4.2,3.3,Dentoglobigerina venezuelana
n480,n478,64.9,61.2,Eoglobigerina edita
t481,n480,61.2,61.15,Eoglobigerina edita
n477,n151,64.97,64.92,Eoglobigerina eobulloides
n478,n477,64.92,64.9,Eoglobigerina eobulloides
t479,n478,64.9,63.6,Eoglobigerina eobulloides
t482,n480,61.2,60.9,Eoglobigerina spiralis
t294,n293,17,16.4,Fohsella birnageae
n300,n298,13.4,13.3,Fohsella fohsi
t301,n300,13.3,11.9,Fohsella fohsi
n307,n305,13.7,13.6,Fohsella lenguaensis
t309,n307,13.6,6.7,Fohsella lenguaensis
n302,n300,13.3,13.1,Fohsella lobata
t303,n302,13.1,11.9,Fohsella lobata
t308,n307,13.6,9.3,Fohsella paralenguaensis
n297,n295,14.3,13.8,Fohsella peripheroacuta
n305,n297,13.8,13.7,Fohsella peripheroacuta
t306,n305,13.7,13.4,Fohsella peripheroacuta
n293,n291,22,17,Fohsella peripheroronda
n295,n293,17,14.3,Fohsella peripheroronda
t296,n295,14.3,13.8,Fohsella peripheroronda
n298,n297,13.8,13.4,Fohsella praefohsi
t299,n298,13.4,13.1,Fohsella praefohsi
t304,n302,13.1,11.9,Fohsella robusta
n16,n2,64.95,64.9,Globanomalina archeocompressa
n4,n16,64.9,62.9,Globanomalina archeocompressa
t3,n4,62.9,62.8,Globanomalina archeocompressa
n33,n32,55.88,48.7,Globanomalina australiformis
t34,n33,48.7,43.8,Globanomalina australiformis
n11,n10,59.45,56.3,Globanomalina chapmani
t12,n11,56.3,53.7,Globanomalina chapmani
n6,n4,62.9,61.1,Globanomalina compressa
t5,n6,61.1,60.7,Globanomalina compressa
n10,n6,61.1,59.45,Globanomalina ehrenbergi
n8,n10,59.45,59.4,Globanomalina ehrenbergi
t7,n8,59.4,59.38,Globanomalina ehrenbergi
n20,n18,62.05,56.5,Globanomalina imitata
n32,n20,56.5,55.88,Globanomalina imitata
t19,n32,55.88,55.8,Globanomalina imitata
n24,n22,55.7,55.3,Globanomalina luxorensis
t23,n24,55.3,54.45,Globanomalina luxorensis
n22,n20,56.5,55.7,Globanomalina ovalis
t21,n22,55.7,55.3,Globanomalina ovalis
n18,n16,64.9,62.05,Globanomalina planocompressa
t17,n18,62.05,62,Globanomalina planocompressa
n14,n11,56.3,50.8,Globanomalina planoconica
t13,n14,50.8,50.6,Globanomalina planoconica
t9,n8,59.4,55.9,Globanomalina pseudomenardii
t622,n620,29.4,22.5,Globigerina angulisuturalis
n653,n651,14.8,2.5,Globigerina bulloides
t654,n653,2.5,0,Globigerina bulloides
n620,n618,31.2,29.4,Globigerina ciperoensis
t621,n620,29.4,19.3,Globigerina ciperoensis
t646,n644,21.5,0.6,Globigerina druryi
n644,n643,26.3,21.5,Globigerina eamesi
t645,n644,21.5,2,Globigerina eamesi
t650,n649,18.4,0,Globigerina falconensis
n617,n615,43.5,33.8,Globigerina officinalis
n618,n617,33.8,31.2,Globigerina officinalis
t619,n618,31.2,23.8,Globigerina officinalis
n623,n617,33.8,31.2,Globigerina praebulloides
n647,n623,31.2,27,Globigerina praebulloides
n643,n647,27,26.3,Globigerina praebulloides
n649,n643,26.3,18.4,Globigerina praebulloides
n651,n649,18.4,14.8,Globigerina praebulloides
t652,n651,14.8,4.8,Globigerina praebulloides
t655,n653,2.5,0.6,Globigerina umbilicata
t425,n424,44,36.3,Globigerinatheka barri
n411,n409,43.95,42.8,Globigerinatheka curryi
t412,n411,42.8,41.6,Globigerinatheka curryi
n413,n411,42.8,40.5,Globigerinatheka euganea
n415,n413,40.5,40.3,Globigerinatheka euganea
t416,n415,40.3,40.2,Globigerinatheka euganea
n428,n426,43.8,39.1,Globigerinatheka index
t429,n428,39.1,34.3,Globigerinatheka index
t423,n422,44.3,35.5,Globigerinatheka korotkovi
n409,n408,44.41,43.95,Globigerinatheka kugleri
t410,n409,43.95,39.8,Globigerinatheka kugleri
t417,n415,40.3,34.3,Globigerinatheka luterbacheri
n419,n418,44.4,38.5,Globigerinatheka mexicana
t420,n419,38.5,36,Globigerinatheka mexicana
t421,n419,38.5,35.8,Globigerinatheka semiinvoluta
n408,n406,45.95,44.41,Globigerinatheka subconglobata
n418,n408,44.41,44.4,Globigerinatheka subconglobata
n422,n418,44.4,44.3,Globigerinatheka subconglobata
n424,n422,44.3,44,Globigerinatheka subconglobata
n426,n424,44,43.8,Globigerinatheka subconglobata
t427,n426,43.8,39.6,Globigerinatheka subconglobata
t430,n428,39.1,33.8,Globigerinatheka tropicalis
t642,n640,0.7,0,Globigerinella adamsi
n640,n638,4.4,0.7,Globigerinella calida
t641,n640,0.7,0,Globigerinella calida
n628,n623,31.2,29.4,Globigerinella obesa
n624,n628,29.4,23.2,Globigerinella obesa
t625,n624,23.2,15.6,Globigerinella obesa
n626,n624,23.2,12.5,Globigerinella praesiphonifera
t627,n626,12.5,11.7,Globigerinella praesiphonifera
n634,n626,12.5,12.4,Globigerinella siphonifera
n638,n634,12.4,4.4,Globigerinella siphonifera
t639,n638,4.4,0,Globigerinella siphonifera
n529,n528,22,21.95,Globigerinoides altiapertura
t530,n529,21.95,16.4,Globigerinoides altiapertura
n549,n548,18.2,16.4,Globigerinoides bisphericus
t550,n549,16.4,15.6,Globigerinoides bisphericus
t535,n533,7.5,0,Globigerinoides conglobatus
t539,n538,17.3,14.8,Globigerinoides diminutus
t532,n531,8.3,1.6,Globigerinoides extremus
t564,n562,3.6,2,Globigerinoides fistulosus
t537,n536,18,12.1,Globigerinoides mitra
n531,n529,21.95,8.3,Globigerinoides obliquus
n533,n531,8.3,7.5,Globigerinoides obliquus
t534,n533,7.5,1.3,Globigerinoides obliquus
t566,n565,21.5,16.4,Globigerinoides parawoodi
t648,n647,27,18.8,Globigerinoides primordius
n542,n540,15.1,9.6,Globigerinoides ruber
t544,n542,9.6,0,Globigerinoides ruber
n562,n560,10.9,3.6,Globigerinoides sacculifer
t563,n562,3.6,0,Globigerinoides sacculifer
t543,n542,9.6,5.3,Globigerinoides seigliei
n528,n526,23,22,Globigerinoides subquadratus
n536,n528,22,18,Globigerinoides subquadratus
n538,n536,18,17.3,Globigerinoides subquadratus
n540,n538,17.3,15.1,Globigerinoides subquadratus
t541,n540,15.1,10.8,Globigerinoides subquadratus
n548,n546,22.6,18.2,Globigerinoides trilobus
n560,n548,18.2,10.9,Globigerinoides trilobus
t561,n560,10.9,0,Globigerinoides trilobus
n58,n56,16.4,6,Globoconella conoidea
t59,n58,6,5.7,Globoconella conoidea
n60,n58,6,5.6,Globoconella conomiozea
t61,n60,5.6,5.5,Globoconella conomiozea
t70,n68,2.6,0,Globoconella inflata
n56,n55,18.3,16.4,Globoconella miozea
t57,n56,16.4,11.2,Globoconella miozea
t65,n63,5.05,3.9,Globoconella pliozea
n68,n66,4.6,2.6,Globoconella puncticulata
t69,n68,2.6,2.3,Globoconella puncticulata
n66,n62,5.4,4.6,Globoconella sphericomiozea
t67,n66,4.6,4.5,Globoconella sphericomiozea
n62,n60,5.6,5.4,Globoconella terminalis
n63,n62,5.4,5.05,Globoconella terminalis
t64,n63,5.05,5,Globoconella terminalis
t348,n346,4.2,0,Globoquadrina conglomerata
t355,n353,25.1,4.8,Globoquadrina dehiscens
t97,n96,5.7,0.2,Globorotalia flexuosa
n92,n88,11,6.4,Globorotalia merotumida
t93,n92,6.4,5.8,Globorotalia merotumida
n94,n92,6.4,5.8,Globorotalia plesiotumida
t95,n94,5.8,4.5,Globorotalia plesiotumida
n96,n94,5.8,5.7,Globorotalia tumida
n98,n96,5.7,4.9,Globorotalia tumida
t99,n98,4.9,0,Globorotalia tumida
t100,n98,4.9,0,Globorotalia ungulata
t674,n631,18.6,16.4,Globorotalia zealandica
n467,n465,47,32.5,Globorotaloides eovariabilis
n469,n996,26.3,17.3,Globorotaloides eovariabilis
n996,n467,32.5,26.3,Globorotaloides eovariabilis
n471,n469,17.3,17.1,Globorotaloides eovariabilis
t472,n471,17.1,16,Globorotaloides eovariabilis
n668,n469,17.3,16.4,Globorotaloides hexagonus
t470,n668,16.4,0,Globorotaloides hexagonus
n451,n450,55.2,55,Globorotaloides quadrocameratus
n465,n451,55,47,Globorotaloides quadrocameratus
t466,n465,47,33.7,Globorotaloides quadrocameratus
t468,n467,32.5,22.5,Globorotaloides testarugosa
t473,n471,17.1,4.8,Globorotaloides variabilis
t520,n518,34.5,23.8,Globoturborotalita anguliofficinalis
t591,n589,10.9,1.3,Globoturborotalita apertura
n500,n498,55.4,44.4,Globoturborotalita bassriverensis
n513,n500,44.4,44,Globoturborotalita bassriverensis
n514,n513,44,43.1,Globoturborotalita bassriverensis
t515,n514,43.1,42.4,Globoturborotalita bassriverensis
n584,n583,12.5,9,Globoturborotalita bollii
t585,n584,9,2.3,Globoturborotalita bollii
n526,n525,23.8,23,Globoturborotalita brazieri
t527,n526,23,15.1,Globoturborotalita brazieri
n546,n545,23,22.6,Globoturborotalita connecta
t547,n546,22.6,16.8,Globoturborotalita connecta
n578,n577,15,3.6,Globoturborotalita decoraperta
t579,n578,3.6,2,Globoturborotalita decoraperta
n518,n516,35.3,34.5,Globoturborotalita gnaucki
t519,n518,34.5,30.3,Globoturborotalita gnaucki
t586,n584,9,5.3,Globoturborotalita kennetti
t524,n522,30.4,16.3,Globoturborotalita labiacrassata
n521,n513,44,30.6,Globoturborotalita martini
n522,n521,30.6,30.4,Globoturborotalita martini
t523,n522,30.4,30.3,Globoturborotalita martini
t588,n587,12.1,4.3,Globoturborotalita nepenthes
n516,n514,43.1,35.3,Globoturborotalita ouachitaensis
t517,n516,35.3,23.8,Globoturborotalita ouachitaensis
n580,n578,3.6,2.4,Globoturborotalita rubescens
t581,n580,2.4,0,Globoturborotalita rubescens
t582,n580,2.4,0,Globoturborotalita tenella
n525,n521,30.6,23.8,Globoturborotalita woodi
n545,n525,23.8,23,Globoturborotalita woodi
n565,n545,23,21.5,Globoturborotalita woodi
n567,n565,21.5,18.1,Globoturborotalita woodi
n577,n567,18.1,15,Globoturborotalita woodi
n583,n577,15,12.5,Globoturborotalita woodi
n587,n583,12.5,12.1,Globoturborotalita woodi
n589,n587,12.1,10.9,Globoturborotalita woodi
t590,n589,10.9,2.4,Globoturborotalita woodi
n406,n404,46.4,45.95,Guembelitrioides nuttalli
t407,n406,45.95,42.3,Guembelitrioides nuttalli
n395,n393,39.8,38.1,Hantkenina alabamensis
t396,n395,38.1,33.7,Hantkenina alabamensis
t388,n387,42.3,38.1,Hantkenina australis
n391,n389,41.2,40,Hantkenina compressa
n393,n391,40,39.8,Hantkenina compressa
t394,n393,39.8,33.7,Hantkenina compressa
n387,n385,43.9,42.3,Hantkenina dumblei
n389,n387,42.3,41.2,Hantkenina dumblei
t390,n389,41.2,39,Hantkenina dumblei
t384,n383,43.91,41.4,Hantkenina lehneri
n383,n381,44.2,43.91,Hantkenina liebusi
n385,n383,43.91,43.9,Hantkenina liebusi
t386,n385,43.9,39.7,Hantkenina liebusi
n381,n379,44.41,44.2,Hantkenina mexicana
t382,n381,44.2,43.8,Hantkenina mexicana
n397,n395,38.1,36.4,Hantkenina nanggulanensis
t398,n397,36.4,33.7,Hantkenina nanggulanensis
t392,n391,40,33.7,Hantkenina primitiva
n379,n377,44.5,44.41,Hantkenina singanoae
t380,n379,44.41,44.4,Hantkenina singanoae
n150,NA,70.6,69.2,Hedbergella holmdelensis
n2,n150,69.2,64.95,Hedbergella holmdelensis
t1,n2,64.95,64.9,Hedbergella holmdelensis
n356,n150,69.2,65,Hedbergella monmouthensis
n151,n356,65,64.97,Hedbergella monmouthensis
n152,n151,64.97,64.9,Hedbergella monmouthensis
t153,n152,64.9,64.85,Hedbergella monmouthensis
t149,n147,2,0,Hirsutella bermudezi
n102,n101,15.15,10.9,Hirsutella challengeri
t103,n102,10.9,10,Hirsutella challengeri
n108,n107,7.2,5.7,Hirsutella cibaoensis
n132,n108,5.7,5.55,Hirsutella cibaoensis
t133,n132,5.55,4.4,Hirsutella cibaoensis
t141,n139,4.8,3.9,Hirsutella evoluta
t661,n660,14.99,8.8,Hirsutella gigantea
t146,n144,3,0,Hirsutella hirsuta
t104,n102,10.9,4.8,Hirsutella juanai
n139,n138,5.89,4.8,Hirsutella margaritae
n142,n139,4.8,3.5,Hirsutella margaritae
n144,n142,3.5,3,Hirsutella margaritae
t145,n144,3,2.95,Hirsutella margaritae
n136,n135,8.2,5.9,Hirsutella praemargaritae
t137,n136,5.9,5.7,Hirsutella praemargaritae
n631,n53,18.8,18.6,Hirsutella praescitula
n55,n631,18.6,18.3,Hirsutella praescitula
n71,n55,18.3,15.6,Hirsutella praescitula
n101,n71,15.6,15.15,Hirsutella praescitula
n105,n101,15.15,15,Hirsutella praescitula
t106,n105,15,14.8,Hirsutella praescitula
n138,n136,5.9,5.89,Hirsutella primitiva
t140,n138,5.89,4.8,Hirsutella primitiva
n660,n105,15,14.99,Hirsutella scitula
n135,n660,14.99,8.2,Hirsutella scitula
n107,n135,8.2,7.2,Hirsutella scitula
n147,n107,7.2,2,Hirsutella scitula
t148,n147,2,0,Hirsutella scitula
t143,n142,3.5,0,Hirsutella theyeri
t166,n165,60.05,55.9,Igorina albeari
t175,n173,45.4,43.6,Igorina anapetes
n173,n171,55.6,45.4,Igorina broedermanni
t174,n173,45.4,43.7,Igorina broedermanni
n171,n169,55.8,55.6,Igorina lodoensis
t172,n171,55.6,50.5,Igorina lodoensis
n165,n161,60.95,60.05,Igorina pusilla
n167,n165,60.05,60,Igorina pusilla
t168,n167,60,59.5,Igorina pusilla
n169,n167,60,55.8,Igorina tadjikistanensis
t170,n169,55.8,55.4,Igorina tadjikistanensis
n72,n71,15.6,14.6,Menardella archeomenardii
t73,n72,14.6,14.2,Menardella archeomenardii
n85,n83,5.7,3.2,Menardella exilis
t86,n85,3.2,1.9,Menardella exilis
t91,n89,0.2,0,Menardella fimbriata
n79,n76,11.4,7.5,Menardella limbata
n77,n79,7.5,6.5,Menardella limbata
n83,n77,6.5,5.7,Menardella limbata
t84,n83,5.7,2.3,Menardella limbata
n76,n74,12.31,11.4,Menardella menardii
n88,n76,11.4,11,Menardella menardii
n89,n88,11,0.2,Menardella menardii
t90,n89,0.2,0,Menardella menardii
t82,n80,3.3,2.4,Menardella miocenica
t78,n77,6.5,2.2,Menardella multicamerata
t87,n85,3.2,1.7,Menardella pertenius
n74,n72,14.6,12.31,Menardella praemenardii
t75,n74,12.31,12.3,Menardella praemenardii
n80,n79,7.5,3.3,Menardella pseudomiocenica
t81,n80,3.3,2.4,Menardella pseudomiocenica
t188,n186,59.15,54.45,Morozovella acuta
t182,n181,59.4,56.35,Morozovella acutispira
n199,n191,56.5,55.9,Morozovella aequa
t251,n199,55.9,50.8,Morozovella aequa
t657,n656,55.5,55.3,Morozovella allisonensis
n177,n176,60.95,60.8,Morozovella angulata
n189,n177,60.8,60,Morozovella angulata
t190,n189,60,59.3,Morozovella angulata
n191,n189,60,56.5,Morozovella apanthesma
n192,n191,56.5,55.9,Morozovella apanthesma
t193,n192,55.9,54.45,Morozovella apanthesma
t214,n212,52.3,43.6,Morozovella aragonensis
t210,n209,50.8,45.15,Morozovella caucasica
n178,n177,60.8,59.9,Morozovella conicotruncata
t179,n178,59.9,59.3,Morozovella conicotruncata
n209,n208,53.5,50.8,Morozovella crater
t211,n209,50.8,43.9,Morozovella crater
t659,n658,54.9,54,Morozovella edgari
t203,n201,54,50.4,Morozovella formosa
n201,n200,55.7,54,Morozovella gracilis
t202,n201,54,50.8,Morozovella gracilis
n208,n206,54,53.5,Morozovella lensiformis
n212,n208,53.5,52.3,Morozovella lensiformis
t213,n212,52.3,50.6,Morozovella lensiformis
t205,n204,55.55,51.6,Morozovella marginodentata
t184,n183,59.35,54.45,Morozovella occlusa
n181,n180,59.5,59.4,Morozovella pasionensis
n183,n181,59.4,59.35,Morozovella pasionensis
t185,n183,59.35,54.45,Morozovella pasionensis
n176,n160,61.15,60.95,Morozovella praeangulata
n215,n176,60.95,60.8,Morozovella praeangulata
t216,n215,60.8,60,Morozovella praeangulata
n200,n199,55.9,55.7,Morozovella subbotinae
n204,n200,55.7,55.55,Morozovella subbotinae
n206,n204,55.55,54,Morozovella subbotinae
t207,n206,54,50.8,Morozovella subbotinae
n180,n178,59.9,59.5,Morozovella velascoensis
n186,n180,59.5,59.15,Morozovella velascoensis
n656,n186,59.15,55.5,Morozovella velascoensis
n658,n656,55.5,54.9,Morozovella velascoensis
t187,n658,54.9,54.45,Morozovella velascoensis
n268,n267,48.1,45.9,Morozovelloides bandyi
t269,n268,45.9,42.3,Morozovelloides bandyi
n272,n270,45.4,44.65,Morozovelloides coronatus
t273,n272,44.65,40.1,Morozovelloides coronatus
n270,n268,45.9,45.4,Morozovelloides crassatus
t271,n270,45.4,38,Morozovelloides crassatus
t274,n272,44.65,40.1,Morozovelloides lehneri
n311,n320,9.7,6.8,Neogloboquadrina acostaensis
n320,n310,10.9,9.7,Neogloboquadrina acostaensis
t312,n311,6.8,1.7,Neogloboquadrina acostaensis
n53,n290,23.2,18.8,Neogloboquadrina continuosa
n310,n53,18.8,10.9,Neogloboquadrina continuosa
n318,n310,10.9,10.8,Neogloboquadrina continuosa
t319,n318,10.8,7.8,Neogloboquadrina continuosa
t324,n322,6.9,0,Neogloboquadrina dutertrei
n322,n320,9.7,6.9,Neogloboquadrina humerosa
t323,n322,6.9,1.6,Neogloboquadrina humerosa
t321,n318,10.8,0,Neogloboquadrina pachyderma
n557,n629,15.1,15.05,Orbulina suturalis
t630,n557,15.05,0,Orbulina suturalis
t559,n557,15.05,0,Orbulina universa
t414,n413,40.5,40,Orbulinoides beckmanni
t441,n439,23.2,12.6,Paragloborotalia acrostoma
t444,n442,18.6,13.9,Paragloborotalia bella
n432,n431,55.45,47.5,Paragloborotalia griffinoides
t434,n432,47.5,33.7,Paragloborotalia griffinoides
t449,n447,20.9,16.4,Paragloborotalia incognita
n290,n288,23.8,23.2,Paragloborotalia kugleri
n291,n290,23.2,22,Paragloborotalia kugleri
t292,n291,22,21.5,Paragloborotalia kugleri
n439,n438,28,23.2,Paragloborotalia mayeri
t440,n439,23.2,11.5,Paragloborotalia mayeri
n435,n432,47.5,30.5,Paragloborotalia nana
n445,n435,30.5,30.3,Paragloborotalia nana
n447,n445,30.3,20.9,Paragloborotalia nana
t448,n447,20.9,15.1,Paragloborotalia nana
t446,n445,30.3,27.1,Paragloborotalia opima
n288,n287,37.2,23.8,Paragloborotalia pseudokugleri
t289,n288,23.8,23.5,Paragloborotalia pseudokugleri
n436,n435,30.5,30.3,Paragloborotalia semivera
t437,n436,30.3,15.5,Paragloborotalia semivera
n438,n436,30.3,28,Paragloborotalia siakensis
n442,n438,28,18.6,Paragloborotalia siakensis
t443,n442,18.6,11.4,Paragloborotalia siakensis
n357,n356,65,64.9,Parasubbotina aff_pseudobulloides
t358,n357,64.9,64.8,Parasubbotina aff_pseudobulloides
n367,n366,49.25,48.1,Parasubbotina eoclava
t368,n367,48.1,44,Parasubbotina eoclava
n401,n400,48.4,48.1,Parasubbotina griffinae
t403,n401,48.1,37.3,Parasubbotina griffinae
n364,n363,55.5,51.7,Parasubbotina inaequispira
n366,n364,51.7,49.25,Parasubbotina inaequispira
n400,n366,49.25,48.4,Parasubbotina inaequispira
n404,n400,48.4,46.4,Parasubbotina inaequispira
t405,n404,46.4,45.4,Parasubbotina inaequispira
t365,n364,51.7,50.9,Parasubbotina prebetica
n359,n357,64.9,62.8,Parasubbotina pseudobulloides
t360,n359,62.8,59.7,Parasubbotina pseudobulloides
t476,n474,47.6,40.5,Parasubbotina pseudowilsoni
n361,n359,62.8,61,Parasubbotina varianta
n363,n361,61,55.5,Parasubbotina varianta
n431,n363,55.5,55.45,Parasubbotina varianta
n450,n431,55.45,55.2,Parasubbotina varianta
n474,n450,55.2,47.6,Parasubbotina varianta
t475,n474,47.6,43,Parasubbotina varianta
t362,n361,61,59.3,Parasubbotina variospira
t15,n14,50.8,45.2,Planoglobanomalina pseudoalgeriana
t195,n194,50.4,38,Planorotalites capdevilensis
n194,n192,55.9,50.4,Planorotalites pseudoscitula
n196,n194,50.4,49.55,Planorotalites pseudoscitula
t197,n196,49.55,46.4,Planorotalites pseudoscitula
n158,n156,62.8,61.2,Praemurica inconstans
t159,n158,61.2,60.9,Praemurica inconstans
t164,n162,60.75,43,Praemurica lozanoi
n156,n154,64.8,62.8,Praemurica pseudoinconstans
t157,n156,62.8,61.15,Praemurica pseudoinconstans
n154,n152,64.9,64.8,Praemurica taurica
t155,n154,64.8,63.8,Praemurica taurica
n160,n158,61.2,61.15,Praemurica uncinata
n161,n160,61.15,60.95,Praemurica uncinata
n162,n161,60.95,60.75,Praemurica uncinata
t163,n162,60.75,60.7,Praemurica uncinata
n629,n555,15.7,15.1,Praeorbulina circularis
t558,n629,15.1,14.9,Praeorbulina circularis
n553,n551,15.9,15.8,Praeorbulina curva
t554,n553,15.8,15,Praeorbulina curva
n555,n553,15.8,15.7,Praeorbulina glomerosa
t556,n555,15.7,15,Praeorbulina glomerosa
n551,n549,16.4,15.9,Praeorbulina sicanus
t552,n551,15.9,14.8,Praeorbulina sicanus
t633,n731,29.39,4,Protentella nicobarensis
n731,n628,29.4,29.39,Protentella prolixa
t632,n731,29.39,11.4,Protentella prolixa
t999,n997,25.7,23.8,Protentelloides dalhousiei
n997,n996,26.3,25.7,Protentelloides primitiva
t998,n997,25.7,23.8,Protentelloides primitiva
t402,n401,48.1,43.1,Pseudoglobigerinella bolivariana
n29,n28,48.1,35.8,Pseudohastigerina micra
