Species code,Ancestor code,Start date,End date,Species name
t229,n227,55.4,55.3,Acarinina africana
n246,n244,53.2,50.4,Acarinina alticonica
t247,n246,50.4,47,Acarinina alticonica
n231,n230,55.7,50.8,Acarinina angulosa
t232,n231,50.8,46.4,Acarinina angulosa
t243,n241,50.4,48.7,Acarinina aspensis
n259,n258,49.8,49,Acarinina boudreauxi
n261,n259,49,47,Acarinina boudreauxi
t262,n261,47,43.7,Acarinina boudreauxi
t260,n259,49,40.5,Acarinina bullbrooki
n283,n281,56.5,50.8,Acarinina coalingensis
t284,n283,50.8,50.1,Acarinina coalingensis
n238,n237,50.45,42.5,Acarinina collactea
t239,n238,42.5,30.3,Acarinina collactea
t233,n231,50.8,44,Acarinina cuneicamerata
t250,n248,43.2,31.8,Acarinina echinata
n252,n251,56.3,55.7,Acarinina esnaensis
t253,n252,55.7,51.2,Acarinina esnaensis
n225,n224,55.8,55.45,Acarinina esnehensis
n226,n225,55.45,50.4,Acarinina esnehensis
n235,n234,54,52.3,Acarinina interposita
t236,n235,52.3,50.4,Acarinina interposita
n266,n264,49.25,48.7,Acarinina mcgowrani
t280,n266,48.7,38,Acarinina mcgowrani
n222,n220,59.25,56.4,Acarinina mckannai
t223,n222,56.4,56.3,Acarinina mckannai
t240,n238,42.5,35.8,Acarinina medizzai
n219,n217,59.5,59.4,Acarinina nitida
n281,n219,59.4,56.5,Acarinina nitida
n251,n281,56.5,56.3,Acarinina nitida
t282,n251,56.3,56.2,Acarinina nitida
n237,n235,52.3,50.45,Acarinina pentacamerata
n241,n237,50.45,50.4,Acarinina pentacamerata
t242,n241,50.4,47,Acarinina pentacamerata
n267,n266,48.7,48.1,Acarinina praetopilensis
n275,n267,48.1,43.2,Acarinina praetopilensis
t276,n275,43.2,40,Acarinina praetopilensis
n285,n283,50.8,39,Acarinina primitiva
t286,n285,39,38.8,Acarinina primitiva
n248,n246,50.4,43.2,Acarinina pseudosubsphaerica
t249,n248,43.2,42.3,Acarinina pseudosubsphaerica
n256,n254,55.5,54,Acarinina pseudotopilensis
n258,n256,54,49.8,Acarinina pseudotopilensis
n264,n258,49.8,49.25,Acarinina pseudotopilensis
t265,n264,49.25,47.25,Acarinina pseudotopilensis
t263,n261,47,40.5,Acarinina punctocarinata
t257,n256,54,50.4,Acarinina quetra
t279,n277,42.8,38.2,Acarinina rohri
n227,n225,55.45,55.4,Acarinina sibaiyaensis
t228,n227,55.4,55.3,Acarinina sibaiyaensis
n224,n222,56.4,55.8,Acarinina soldadoensis
n230,n224,55.8,55.7,Acarinina soldadoensis
n234,n230,55.7,54,Acarinina soldadoensis
n244,n234,54,53.2,Acarinina soldadoensis
t245,n244,53.2,46.4,Acarinina soldadoensis
n217,n215,60.8,59.5,Acarinina strabocella
t218,n217,59.5,59.3,Acarinina strabocella
n220,n219,59.4,59.25,Acarinina subsphaerica
t221,n220,59.25,54.2,Acarinina subsphaerica
n277,n275,43.2,42.8,Acarinina topilensis
t278,n277,42.8,40.3,Acarinina topilensis
n254,n252,55.7,55.5,Acarinina wilcoxensis
t255,n254,55.5,50.9,Acarinina wilcoxensis
t198,n196,49.55,47.55,Astrorotalia palmerae
n666,n635,5,0.3,Beella digitata
t637,n666,0.3,0,Beella digitata
t667,n666,0.3,0,Beella megastoma
n635,n634,12.4,5,Beella praedigitata
t636,n635,5,0.8,Beella praedigitata
t455,n453,39,34.3,Catapsydrax africanus
t459,n458,37.6,17.3,Catapsydrax dissimilis
t457,n456,40.4,34.3,Catapsydrax globiformis
n453,n452,44.35,39,Catapsydrax howei
t454,n453,39,33.7,Catapsydrax howei
t464,n462,17.1,10.9,Catapsydrax parvulus
n462,n460,27.5,17.1,Catapsydrax stainforthi
t463,n462,17.1,16.9,Catapsydrax stainforthi
n452,n451,55,44.35,Catapsydrax unicavus
n456,n452,44.35,40.4,Catapsydrax unicavus
n458,n456,40.4,37.6,Catapsydrax unicavus
n460,n458,37.6,27.5,Catapsydrax unicavus
t461,n460,27.5,17.3,Catapsydrax unicavus
t672,n668,16.4,12.1,Clavatorella bermudezi
t374,n373,47.22,42.7,Clavigerinella akersi
n377,n375,44.6,44.5,Clavigerinella caucasica
t378,n377,44.5,44.45,Clavigerinella caucasica
t370,n369,47.4,43.3,Clavigerinella colombiana
n369,n367,48.1,47.4,Clavigerinella eocanica
n371,n369,47.4,47.25,Clavigerinella eocanica
n373,n371,47.25,47.22,Clavigerinella eocanica
n375,n373,47.22,44.6,Clavigerinella eocanica
t376,n375,44.6,34,Clavigerinella eocanica
t372,n371,47.25,43.3,Clavigerinella jarvisi
t399,n397,36.4,33.7,Cribrohantkenina inflata
t332,n330,23.7,3,Dentoglobigerina altispira
t350,n349,32,3.3,Dentoglobigerina baroemoensis
t339,n337,26,18.8,Dentoglobigerina binaiensis
n287,n285,39,37.2,Dentoglobigerina galavisi
n325,n287,37.2,35.4,Dentoglobigerina galavisi
n327,n325,35.4,34,Dentoglobigerina galavisi
n333,n327,34,33.9,Dentoglobigerina galavisi
n349,n333,33.9,32,Dentoglobigerina galavisi
n351,n349,32,27.3,Dentoglobigerina galavisi
